City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Chichli,IN,70.3,clear sky,22.83,78.82,जयश टेंट हाउस चीचली
4,Bengkulu,ID,76.51,light rain,-3.8,102.27,Grage Hotel Bengkulu
6,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,Pousada Porto Praia
8,Beloha,MG,73.26,clear sky,-25.17,45.05,
10,Rikitea,PF,75.13,broken clouds,-23.12,-134.97,Pension Maro'i
30,Atuona,PF,77.34,scattered clouds,-9.8,-139.03,Villa Enata
31,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
39,Hambantota,LK,75.2,overcast clouds,6.12,81.12,Bungalow 63
46,Victoria,HK,75.0,broken clouds,22.29,114.16,Mini Hotel Central
51,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
55,Sambava,MG,75.07,scattered clouds,-14.27,50.17,Melrose
61,Auki,SB,77.11,overcast clouds,-8.77,160.7,Auki Motel
62,Cabo San Lucas,MX,77.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
64,Hervey Bay,AU,75.0,clear sky,-25.3,152.85,Shelly Bay Resort
72,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
79,Makakilo City,US,77.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
81,Chazuta,PE,78.8,moderate rain,-6.57,-76.14,Fundo El Porvenir
84,Yenangyaung,MM,76.68,light rain,20.47,94.88,Hotel Country
87,Pouembout,NC,73.62,scattered clouds,-21.13,164.9,Camping de Tipenga
96,Ajdabiya,LY,70.97,broken clouds,30.76,20.23,الحاج سليمان الشترة
97,Tamiahua,MX,71.13,broken clouds,21.27,-97.45,Mission Of The Sun Hotel
105,Viransehir,TR,70.18,overcast clouds,37.24,39.76,Viranşehir Öğretmenevi
109,Nishihara,JP,71.6,few clouds,26.18,127.76,Minshuku Agaihama
113,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Guerrero Negro,MX,71.24,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
129,Poum,NC,77.43,light rain,-20.23,164.02,Gîte kajeon
130,Port Said,EG,76.42,clear sky,31.26,32.28,Aracan Hotel
147,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
161,Najran,SA,77.0,clear sky,17.49,44.13,محمد هادي ال فطيح
172,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
173,Merauke,ID,78.98,few clouds,-8.47,140.33,
185,Pangai,TO,73.83,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
200,Bandarbeyla,SO,79.59,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
205,Sompeta,IN,77.74,scattered clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
209,Wanning,CN,76.48,light rain,18.8,110.4,Paradise Hotel
212,Sembakung,ID,75.11,overcast clouds,3.82,117.25,
217,Faanui,PF,78.96,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Ambilobe,MG,78.49,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
247,Marsa Matruh,EG,73.18,few clouds,31.35,27.25,Beau Site
