City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hithadhoo,MV,-0.6,73.08,83.55,74,0,8.97,clear sky
1,Kapaa,US,22.08,-159.32,66.2,88,40,6.93,scattered clouds
2,Chichli,IN,22.83,78.82,70.3,43,0,4.94,clear sky
3,Ushuaia,AR,-54.8,-68.3,48.2,76,75,29.97,broken clouds
4,Bengkulu,ID,-3.8,102.27,76.51,87,100,4.27,light rain
5,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,74,75,2.24,broken clouds
6,Arraial Do Cabo,BR,-22.97,-42.03,78.8,83,75,14.99,broken clouds
7,Tuktoyaktuk,CA,69.45,-133.04,4.77,93,65,7.76,broken clouds
8,Beloha,MG,-25.17,45.05,73.26,57,0,16.67,clear sky
9,Busselton,AU,-33.65,115.33,64.0,50,14,3.51,few clouds
10,Rikitea,PF,-23.12,-134.97,75.13,70,66,5.75,broken clouds
11,Juneau,US,58.3,-134.42,35.6,93,90,6.93,light rain
12,Kruisfontein,ZA,-34.0,24.73,61.0,60,30,3.0,scattered clouds
13,Georgetown,MY,5.41,100.34,82.4,83,20,3.36,few clouds
14,Dunedin,NZ,-45.87,170.5,63.0,57,100,4.59,light rain
15,Jamestown,US,42.1,-79.24,37.0,100,90,5.82,mist
16,Turukhansk,RU,65.82,87.98,1.85,90,15,8.08,few clouds
17,Pevek,RU,69.7,170.31,23.31,92,78,7.54,broken clouds
18,Severo-Kurilsk,RU,50.68,156.12,43.25,85,95,26.6,light rain
19,Narsaq,GL,60.92,-46.05,30.2,63,75,2.24,broken clouds
20,Olafsvik,IS,64.89,-23.71,41.81,74,65,9.71,broken clouds
21,Sindor,RU,62.86,51.89,37.67,90,100,10.31,overcast clouds
22,Whitehorse,CA,60.72,-135.05,21.99,90,81,1.99,broken clouds
23,Mataura,NZ,-46.19,168.86,55.99,97,100,4.0,light rain
24,Saint-Philippe,RE,-21.36,55.77,68.0,68,40,11.41,scattered clouds
25,Peleduy,RU,59.63,112.74,18.86,96,100,1.14,overcast clouds
26,Bluff,NZ,-46.6,168.33,55.99,97,100,4.0,light rain
27,Butaritari,KI,3.07,172.79,81.66,78,97,17.07,light rain
28,Murdochville,CA,48.96,-65.5,25.99,89,44,11.3,scattered clouds
29,Hermanus,ZA,-34.42,19.23,63.0,57,0,8.01,clear sky
30,Atuona,PF,-9.8,-139.03,77.34,73,30,12.97,scattered clouds
31,Alofi,NU,-19.06,-169.92,71.6,94,58,11.41,light rain
32,Hobart,AU,-42.88,147.33,46.4,87,12,5.82,few clouds
33,Megion,RU,61.03,76.11,32.0,96,90,6.71,mist
34,Mar Del Plata,AR,-38.0,-57.56,62.6,36,0,3.36,clear sky
35,Belle Fourche,US,44.67,-103.85,50.0,61,1,4.7,clear sky
36,Tahe,CN,52.33,124.73,24.49,97,100,2.51,overcast clouds
37,Almaznyy,RU,48.04,40.05,59.0,87,40,4.47,scattered clouds
38,Qaanaaq,GL,77.48,-69.36,15.51,81,99,5.32,overcast clouds
39,Hambantota,LK,6.12,81.12,75.2,100,90,2.24,overcast clouds
40,Provideniya,RU,64.38,-173.3,24.57,91,96,5.37,overcast clouds
41,Mindelo,CV,16.89,-24.98,84.2,62,20,32.21,few clouds
42,Iqaluit,CA,63.75,-68.51,3.52,91,76,4.36,broken clouds
43,Kaspiyskiy,RU,45.39,47.37,54.59,83,83,11.43,broken clouds
44,Urusha,RU,54.05,122.9,17.42,96,73,3.31,broken clouds
45,Placido De Castro,BR,-10.34,-67.19,80.4,75,100,5.86,light rain
46,Victoria,HK,22.29,114.16,75.0,77,56,1.01,broken clouds
47,Castro,BR,-24.79,-50.01,57.49,87,100,10.78,overcast clouds
48,Longyearbyen,SJ,78.22,15.64,17.6,67,0,3.36,clear sky
49,Luanda,AO,-8.84,13.23,82.4,74,20,13.87,few clouds
50,Raudeberg,NO,61.99,5.14,51.8,93,75,23.04,moderate rain
51,Hilo,US,19.73,-155.09,75.2,88,90,3.36,overcast clouds
52,Bud,US,39.45,-86.18,45.0,75,40,5.82,scattered clouds
53,Chokurdakh,RU,70.63,147.92,4.17,94,100,6.33,overcast clouds
54,Lokosovo,RU,61.13,74.82,33.62,96,100,8.12,overcast clouds
55,Sambava,MG,-14.27,50.17,75.07,71,48,19.95,scattered clouds
56,Sao Filipe,CV,14.9,-24.5,84.74,51,65,12.75,broken clouds
57,Deloraine,AU,-41.53,146.67,52.0,95,99,1.43,overcast clouds
58,Ternate,ID,0.8,127.4,82.33,78,15,8.23,few clouds
59,Sayyan,YE,15.17,44.32,58.37,35,0,6.42,clear sky
60,Hami,CN,42.8,93.45,38.01,60,0,2.57,clear sky
61,Auki,SB,-8.77,160.7,77.11,85,100,1.86,overcast clouds
62,Cabo San Lucas,MX,22.89,-109.91,77.0,68,5,1.9,clear sky
63,Lebu,CL,-37.62,-73.65,59.61,63,0,13.13,clear sky
64,Hervey Bay,AU,-25.3,152.85,75.0,82,0,5.99,clear sky
65,East London,ZA,-33.02,27.91,59.0,82,20,3.36,few clouds
66,Vila,PT,42.03,-8.16,64.99,76,0,8.01,clear sky
67,Ocos,GT,14.51,-92.19,82.4,88,40,7.63,scattered clouds
68,Necochea,AR,-38.55,-58.74,63.75,38,38,2.37,scattered clouds
69,Paamiut,GL,61.99,-49.67,25.97,84,95,6.78,overcast clouds
70,New Norfolk,AU,-42.78,147.06,45.0,69,3,2.21,clear sky
71,Norman Wells,CA,65.28,-126.83,8.28,93,96,4.27,overcast clouds
72,Avarua,CK,-21.21,-159.78,71.6,88,100,8.05,overcast clouds
73,Coquimbo,CL,-29.95,-71.34,53.6,87,90,9.17,overcast clouds
74,Durango,MX,24.83,-104.83,57.34,36,57,3.51,broken clouds
75,North Bend,US,43.41,-124.22,53.01,100,90,10.29,overcast clouds
76,Nome,US,64.5,-165.41,17.6,78,90,4.99,light snow
77,Tuatapere,NZ,-46.13,167.68,55.99,97,100,4.0,moderate rain
78,Punta Arenas,CL,-53.15,-70.92,53.01,66,75,31.09,broken clouds
79,Makakilo City,US,21.35,-158.09,77.0,65,1,9.17,clear sky
80,Monte Patria,CL,-30.69,-70.95,81.77,24,0,8.43,clear sky
81,Chazuta,PE,-6.57,-76.14,78.8,94,75,4.7,moderate rain
82,Meadow Lake,US,34.8,-106.54,51.01,70,40,4.36,scattered clouds
83,Bethel,US,41.37,-73.41,35.6,93,90,11.41,moderate rain
84,Yenangyaung,MM,20.47,94.88,76.68,88,78,0.94,light rain
85,Ribeira Grande,PT,38.52,-28.7,69.8,88,75,24.16,broken clouds
86,Verkhnevilyuysk,RU,63.45,120.32,-6.3,91,81,2.44,broken clouds
87,Pouembout,NC,-21.13,164.9,73.62,82,43,4.72,scattered clouds
88,Kupang,ID,-10.17,123.58,80.78,76,69,6.42,broken clouds
89,Cayenne,GF,4.93,-52.33,89.6,59,75,14.99,broken clouds
90,Rumoi,JP,43.93,141.64,43.02,84,37,6.8,scattered clouds
91,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,8.05,clear sky
92,Piacabucu,BR,-10.41,-36.43,83.08,68,100,13.6,overcast clouds
93,Acapulco,MX,16.86,-99.89,82.4,74,5,1.97,clear sky
